label	text_a
1	[SEP]00000000a002721017cb0000020405b40402080a004b785300000000010303070000000000000000000000000000000000000000000000000000000000000000[SEP]770a52546012ffffd0180000020405b4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000[SEP]06253e025010721017b7000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000[SEP]06253e0250187210186c000016030100b0010000ac030384fa286a7420303dd4d709b0f94d550f4a3ba4429237f11304df46d4ea04a03d00002ec02bc02fc00a[SEP]770a53095010ffffe720000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
4	[SEP]00000000a002721071e90000020405b40402080a03760a3700000000010303070000000000000000000000000000000000000000000000000000000000000000[SEP]9d79e78fa01238902b830000020405460402080a310094e303760a37010303090000000000000000000000000000000000000000000000000000000000000000[SEP]c911a22e801000e571e100000101080a03760a4b310094e300000000000000000000000000000000000000000000000000000000000000000000000000000000[SEP]c911a22e801800e5720d00000101080a03760a4b310094e3000300182112a442a7a5649f099336590080a2580019000411000000000d000400000e1080280004[SEP]9d79e7bb8010001d91c700000101080a3100953203760a4b00000000000000000000000000000000000000000000000000000000000000000000000000000000
1	[SEP]d5637d00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000[SEP]26836d00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000[SEP]e0f602987e74c838a87e83a55f97b4009f5527d8e2c5bddfcf544f2fe8457c84d5e06a0000000000000000000000000000000000000000000000000000000000[SEP]331e028eda41f7b9090be57e87b637e0f1e249808a9194ecfe5255da8f544b8226dc000000000000000000000000000000000000000000000000000000000000[SEP]82807d00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2	[SEP]00000000a002721071e40000020405b40402080a0381247a00000000010303070000000000000000000000000000000000000000000000000000000000000000[SEP]078db7faa0123890d8070000020405460402080a312d449a0381247a010303090000000000000000000000000000000000000000000000000000000000000000[SEP]d47ccc14801000e571dc00000101080a0381248e312d449a00000000000000000000000000000000000000000000000000000000000000000000000000000000[SEP]d47ccc14801800e5720800000101080a038124c5312d449a000300182112a4422479f29d39ef251bd415d9130019000411000000000d000400000e1080280004[SEP]078db8268010001d3d3900000101080a312d45c5038124c500000000000000000000000000000000000000000000000000000000000000000000000000000000
2	[SEP]000000000000000000010003d85114eb001e3c00fffc00000001000000000000047770616400001c000100000000000000000000000000000000000000000000[SEP]000000000000000000010003d85114eb001e3c00fffc00000001000000000000047770616400001c000100000000000000000000000000000000000000000000[SEP]000000000000000000010003d85114eb001e1791246c00000001000000000000047770616400001c000100000000000000000000000000000000000000000000[SEP]000000000000000000010003d85114eb001e1791246c00000001000000000000047770616400001c000100000000000000000000000000000000000000000000
2	[SEP]25640000000100000000000004777061640000010001000000000000000000000000000000000000000000000000000000000000000000000000000000000000[SEP]25640000000100000000000004777061640000010001000000000000000000000000000000000000000000000000000000000000000000000000000000000000[SEP]216f0000000100000000000004777061640000010001000000000000000000000000000000000000000000000000000000000000000000000000000000000000[SEP]216f0000000100000000000004777061640000010001000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3	[SEP]32d6a2e0501802aa8cae00001703030446c696c9a6b12fe44619f21b44a951ee96b024c1ba8bd054bb4562d6537a4146c2ff891206aca237da517b0e292745fc[SEP]6eefe94550103f665140000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000[SEP]6eefe94550183f66dc7d000017030301e70000000000000055d05e2ebfacf2e56a68506d5de6911630efbfb16e4c52e832dea97d02f09acf3e96c932a405680e[SEP]32d6a4cc501002b58c05000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000[SEP]6eefe94550183f66d50600001703030120000000000000005691f73b032e4e0499571061a4fc679e784892299f9880f48bac4580c4a66e93fad5825d5f84a723
1	[SEP]00000000000000000001000202220223005bfb060185dd080008000200000001000e00010001197637c9b8ac6f3625880003000c0fb8ac6f0000000000000000[SEP]00000000000000000001000202220223005bfaa20185dd080008000200640001000e00010001197637c9b8ac6f3625880003000c0fb8ac6f0000000000000000[SEP]00000000000000000001000202220223005bf9da0185dd0800080002012c0001000e00010001197637c9b8ac6f3625880003000c0fb8ac6f0000000000000000[SEP]00000000000000000001000202220223005bf84a0185dd080008000202bc0001000e00010001197637c9b8ac6f3625880003000c0fb8ac6f0000000000000000[SEP]00000000000000000001000202220223005bf52a0185dd080008000205dc0001000e00010001197637c9b8ac6f3625880003000c0fb8ac6f0000000000000000
1	[SEP]00000000a002721025cb0000020405b40402080a005f65d100000000010303070000000000000000000000000000000000000000000000000000000000000000[SEP]7ea11fee6012ffffaae80000020405b4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000[SEP]2d8552025010721025b7000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000[SEP]2d8552025018721027bc00001603010200010001fc03035e44b5aabf06cdd60a90ed083357bfdd60bc967f7b45f730ed4a789b266cbfbd20024f4ff1f9bb7e07[SEP]7ea121f35010ffffc0a0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1	[SEP]00000000a00272109dca0000020405b40402080a005b323b00000000010303070000000000000000000000000000000000000000000000000000000000000000[SEP]ef7066dd6012ffffbcdf0000020405b4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000[SEP]2546f802501072109db6000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000[SEP]2546f802501872109fbb00001603010200010001fc0303788e28dbb5ce8802029c6302faf42c7b605f9e506f13ec03637bf36819aaebe6206f51a9b79124f57d[SEP]ef7068e25010ffffd297000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
